Karnataka," 29-02-2020",3.53,43355437,40.44,77.1025,28.7041
Kerala," 29-02-2020",7.53,19656046,37.68,77.1025,28.7041
Madhya Pradesh," 29-02-2020",4.65,45422958,38.75,77.1025,28.7041
Maharashtra," 29-02-2020",4.76,84832634,43.59,77.1025,28.7041
Meghalaya," 29-02-2020",4.57,2693658,57.17,77.1025,28.7041
Odisha," 29-02-2020",2.87,28561470,40.8,77.1025,28.7041
Puducherry," 29-02-2020",1.76,987922,41.56,77.1025,28.7041
Punjab," 29-02-2020",11.12,18458094,41.24,77.1025,28.7041
Rajasthan," 29-02-2020",15.55,40657830,41.74,77.1025,28.7041
Tamil Nadu," 29-02-2020",2.19,55141178,43.18,77.1025,28.7041
Telangana," 29-02-2020",8.02,33651940,56.98,77.1025,28.7041
Tripura," 29-02-2020",29.5,3169372,68.22,77.1025,28.7041
Uttar Pradesh," 29-02-2020",9.58,116121062,39.3,77.1025,28.7041
Uttarakhand," 29-02-2020",5.04,6041862,36.25,77.1025,28.7041
West Bengal," 29-02-2020",5.42,73928355,47.11,77.1025,28.7041
Andhra Pradesh," 29-02-2020",5.8,33091304,40.19,74.124,15.2993
Assam," 29-02-2020",5.88,20176536,41.61,74.124,15.2993
Bihar," 29-02-2020",11.67,52563311,37.5,74.124,15.2993
Chandigarh," 29-02-2020",16.67,316887,39.25,74.124,15.2993
Chhattisgarh," 29-02-2020",8.69,18390228,45.92,74.124,15.2993
Delhi," 29-02-2020",14.5,11712614,41.31,74.124,15.2993
Goa," 29-02-2020",2.37,956136,38.07,74.124,15.2993
Gujarat," 29-02-2020",6.35,49515590,49.97,74.124,15.2993
Haryana," 29-02-2020",25.42,14645884,43.97,74.124,15.2993
Himachal Pradesh," 29-02-2020",19.86,4360536,45.52,74.124,15.2993
Jammu & Kashmir," 29-02-2020",20.62,6447026,39.55,74.124,15.2993
Jharkhand," 29-02-2020",13.53,20850850,44.62,74.124,15.2993
Karnataka," 29-02-2020",3.53,43355437,40.44,74.124,15.2993
Kerala," 29-02-2020",7.53,19656046,37.68,74.124,15.2993
Madhya Pradesh," 29-02-2020",4.65,45422958,38.75,74.124,15.2993
Maharashtra," 29-02-2020",4.76,84832634,43.59,74.124,15.2993
Meghalaya," 29-02-2020",4.57,2693658,57.17,74.124,15.2993
Odisha," 29-02-2020",2.87,28561470,40.8,74.124,15.2993
Puducherry," 29-02-2020",1.76,987922,41.56,74.124,15.2993
Punjab," 29-02-2020",11.12,18458094,41.24,74.124,15.2993
Rajasthan," 29-02-2020",15.55,40657830,41.74,74.124,15.2993
Tamil Nadu," 29-02-2020",2.19,55141178,43.18,74.124,15.2993
Telangana," 29-02-2020",8.02,33651940,56.98,74.124,15.2993
Tripura," 29-02-2020",29.5,3169372,68.22,74.124,15.2993
Uttar Pradesh," 29-02-2020",9.58,116121062,39.3,74.124,15.2993
Uttarakhand," 29-02-2020",5.04,6041862,36.25,74.124,15.2993
West Bengal," 29-02-2020",5.42,73928355,47.11,74.124,15.2993
Andhra Pradesh," 29-02-2020",5.8,33091304,40.19,71.1924,22.2587
Assam," 29-02-2020",5.88,20176536,41.61,71.1924,22.2587
Bihar," 29-02-2020",11.67,52563311,37.5,71.1924,22.2587
Chandigarh," 29-02-2020",16.67,316887,39.25,71.1924,22.2587
Chhattisgarh," 29-02-2020",8.69,18390228,45.92,71.1924,22.2587
Delhi," 29-02-2020",14.5,11712614,41.31,71.1924,22.2587
Goa," 29-02-2020",2.37,956136,38.07,71.1924,22.2587
Gujarat," 29-02-2020",6.35,49515590,49.97,71.1924,22.2587
Haryana," 29-02-2020",25.42,14645884,43.97,71.1924,22.2587
Himachal Pradesh," 29-02-2020",19.86,4360536,45.52,71.1924,22.2587
Jammu & Kashmir," 29-02-2020",20.62,6447026,39.55,71.1924,22.2587
Jharkhand," 29-02-2020",13.53,20850850,44.62,71.1924,22.2587
Karnataka," 29-02-2020",3.53,43355437,40.44,71.1924,22.2587
Kerala," 29-02-2020",7.53,19656046,37.68,71.1924,22.2587
Madhya Pradesh," 29-02-2020",4.65,45422958,38.75,71.1924,22.2587
Maharashtra," 29-02-2020",4.76,84832634,43.59,71.1924,22.2587
Meghalaya," 29-02-2020",4.57,2693658,57.17,71.1924,22.2587
Odisha," 29-02-2020",2.87,28561470,40.8,71.1924,22.2587
Puducherry," 29-02-2020",1.76,987922,41.56,71.1924,22.2587
Punjab," 29-02-2020",11.12,18458094,41.24,71.1924,22.2587
Rajasthan," 29-02-2020",15.55,40657830,41.74,71.1924,22.2587
Tamil Nadu," 29-02-2020",2.19,55141178,43.18,71.1924,22.2587
Telangana," 29-02-2020",8.02,33651940,56.98,71.1924,22.2587
Tripura," 29-02-2020",29.5,3169372,68.22,71.1924,22.2587
Uttar Pradesh," 29-02-2020",9.58,116121062,39.3,71.1924,22.2587
Uttarakhand," 29-02-2020",5.04,6041862,36.25,71.1924,22.2587
West Bengal," 29-02-2020",5.42,73928355,47.11,71.1924,22.2587
Andhra Pradesh," 29-02-2020",5.8,33091304,40.19,76.0856,29.0588
Assam," 29-02-2020",5.88,20176536,41.61,76.0856,29.0588
Bihar," 29-02-2020",11.67,52563311,37.5,76.0856,29.0588
Chandigarh," 29-02-2020",16.67,316887,39.25,76.0856,29.0588
Chhattisgarh," 29-02-2020",8.69,18390228,45.92,76.0856,29.0588
Delhi," 29-02-2020",14.5,11712614,41.31,76.0856,29.0588
Goa," 29-02-2020",2.37,956136,38.07,76.0856,29.0588
Gujarat," 29-02-2020",6.35,49515590,49.97,76.0856,29.0588
Haryana," 29-02-2020",25.42,14645884,43.97,76.0856,29.0588
Himachal Pradesh," 29-02-2020",19.86,4360536,45.52,76.0856,29.0588
Jammu & Kashmir," 29-02-2020",20.62,6447026,39.55,76.0856,29.0588
Jharkhand," 29-02-2020",13.53,20850850,44.62,76.0856,29.0588
Karnataka," 29-02-2020",3.53,43355437,40.44,76.0856,29.0588
Kerala," 29-02-2020",7.53,19656046,37.68,76.0856,29.0588
Madhya Pradesh," 29-02-2020",4.65,45422958,38.75,76.0856,29.0588
Maharashtra," 29-02-2020",4.76,84832634,43.59,76.0856,29.0588
Meghalaya," 29-02-2020",4.57,2693658,57.17,76.0856,29.0588
Odisha," 29-02-2020",2.87,28561470,40.8,76.0856,29.0588
Puducherry," 29-02-2020",1.76,987922,41.56,76.0856,29.0588
Punjab," 29-02-2020",11.12,18458094,41.24,76.0856,29.0588
Rajasthan," 29-02-2020",15.55,40657830,41.74,76.0856,29.0588
Tamil Nadu," 29-02-2020",2.19,55141178,43.18,76.0856,29.0588
Telangana," 29-02-2020",8.02,33651940,56.98,76.0856,29.0588
Tripura," 29-02-2020",29.5,3169372,68.22,76.0856,29.0588
Uttar Pradesh," 29-02-2020",9.58,116121062,39.3,76.0856,29.0588
Uttarakhand," 29-02-2020",5.04,6041862,36.25,76.0856,29.0588
West Bengal," 29-02-2020",5.42,73928355,47.11,76.0856,29.0588
Andhra Pradesh," 29-02-2020",5.8,33091304,40.19,77.1734,31.1048
Assam," 29-02-2020",5.88,20176536,41.61,77.1734,31.1048
Bihar," 29-02-2020",11.67,52563311,37.5,77.1734,31.1048
Chandigarh," 29-02-2020",16.67,316887,39.25,77.1734,31.1048
Chhattisgarh," 29-02-2020",8.69,18390228,45.92,77.1734,31.1048
Delhi," 29-02-2020",14.5,11712614,41.31,77.1734,31.1048
Goa," 29-02-2020",2.37,956136,38.07,77.1734,31.1048
Gujarat," 29-02-2020",6.35,49515590,49.97,77.1734,31.1048
Haryana," 29-02-2020",25.42,14645884,43.97,77.1734,31.1048
Himachal Pradesh," 29-02-2020",19.86,4360536,45.52,77.1734,31.1048
Jammu & Kashmir," 29-02-2020",20.62,6447026,39.55,77.1734,31.1048
Jharkhand," 29-02-2020",13.53,20850850,44.62,77.1734,31.1048
Karnataka," 29-02-2020",3.53,43355437,40.44,77.1734,31.1048
Kerala," 29-02-2020",7.53,19656046,37.68,77.1734,31.1048
Madhya Pradesh," 29-02-2020",4.65,45422958,38.75,77.1734,31.1048
Maharashtra," 29-02-2020",4.76,84832634,43.59,77.1734,31.1048
Meghalaya," 29-02-2020",4.57,2693658,57.17,77.1734,31.1048
Odisha," 29-02-2020",2.87,28561470,40.8,77.1734,31.1048
Puducherry," 29-02-2020",1.76,987922,41.56,77.1734,31.1048
Punjab," 29-02-2020",11.12,18458094,41.24,77.1734,31.1048
Rajasthan," 29-02-2020",15.55,40657830,41.74,77.1734,31.1048
Tamil Nadu," 29-02-2020",2.19,55141178,43.18,77.1734,31.1048
Telangana," 29-02-2020",8.02,33651940,56.98,77.1734,31.1048
Tripura," 29-02-2020",29.5,3169372,68.22,77.1734,31.1048
Uttar Pradesh," 29-02-2020",9.58,116121062,39.3,77.1734,31.1048
Uttarakhand," 29-02-2020",5.04,6041862,36.25,77.1734,31.1048
West Bengal," 29-02-2020",5.42,73928355,47.11,77.1734,31.1048
Andhra Pradesh," 29-02-2020",5.8,33091304,40.19,76.5762,33.7782
Assam," 29-02-2020",5.88,20176536,41.61,76.5762,33.7782
Bihar," 29-02-2020",11.67,52563311,37.5,76.5762,33.7782
Chandigarh," 29-02-2020",16.67,316887,39.25,76.5762,33.7782
Chhattisgarh," 29-02-2020",8.69,18390228,45.92,76.5762,33.7782
Delhi," 29-02-2020",14.5,11712614,41.31,76.5762,33.7782
Goa," 29-02-2020",2.37,956136,38.07,76.5762,33.7782
Gujarat," 29-02-2020",6.35,49515590,49.97,76.5762,33.7782
Haryana," 29-02-2020",25.42,14645884,43.97,76.5762,33.7782
Himachal Pradesh," 29-02-2020",19.86,4360536,45.52,76.5762,33.7782
Jammu & Kashmir," 29-02-2020",20.62,6447026,39.55,76.5762,33.7782
Jharkhand," 29-02-2020",13.53,20850850,44.62,76.5762,33.7782
Karnataka," 29-02-2020",3.53,43355437,40.44,76.5762,33.7782
Kerala," 29-02-2020",7.53,19656046,37.68,76.5762,33.7782
Madhya Pradesh," 29-02-2020",4.65,45422958,38.75,76.5762,33.7782
Maharashtra," 29-02-2020",4.76,84832634,43.59,76.5762,33.7782
Meghalaya," 29-02-2020",4.57,2693658,57.17,76.5762,33.7782
Odisha," 29-02-2020",2.87,28561470,40.8,76.5762,33.7782
Puducherry," 29-02-2020",1.76,987922,41.56,76.5762,33.7782
Punjab," 29-02-2020",11.12,18458094,41.24,76.5762,33.7782
Rajasthan," 29-02-2020",15.55,40657830,41.74,76.5762,33.7782
Tamil Nadu," 29-02-2020",2.19,55141178,43.18,76.5762,33.7782
Telangana," 29-02-2020",8.02,33651940,56.98,76.5762,33.7782
Tripura," 29-02-2020",29.5,3169372,68.22,76.5762,33.7782
Uttar Pradesh," 29-02-2020",9.58,116121062,39.3,76.5762,33.7782
Uttarakhand," 29-02-2020",5.04,6041862,36.25,76.5762,33.7782
West Bengal," 29-02-2020",5.42,73928355,47.11,76.5762,33.7782
Andhra Pradesh," 29-02-2020",5.8,33091304,40.19,85.2799,23.6102
Assam," 29-02-2020",5.88,20176536,41.61,85.2799,23.6102
Bihar," 29-02-2020",11.67,52563311,37.5,85.2799,23.6102
Chandigarh," 29-02-2020",16.67,316887,39.25,85.2799,23.6102
Chhattisgarh," 29-02-2020",8.69,18390228,45.92,85.2799,23.6102
Delhi," 29-02-2020",14.5,11712614,41.31,85.2799,23.6102
Goa," 29-02-2020",2.37,956136,38.07,85.2799,23.6102
Gujarat," 29-02-2020",6.35,49515590,49.97,85.2799,23.6102
Haryana," 29-02-2020",25.42,14645884,43.97,85.2799,23.6102
Himachal Pradesh," 29-02-2020",19.86,4360536,45.52,85.2799,23.6102
Jammu & Kashmir," 29-02-2020",20.62,6447026,39.55,85.2799,23.6102
Jharkhand," 29-02-2020",13.53,20850850,44.62,85.2799,23.6102
Karnataka," 29-02-2020",3.53,43355437,40.44,85.2799,23.6102
Kerala," 29-02-2020",7.53,19656046,37.68,85.2799,23.6102
Madhya Pradesh," 29-02-2020",4.65,45422958,38.75,85.2799,23.6102
Maharashtra," 29-02-2020",4.76,84832634,43.59,85.2799,23.6102
Meghalaya," 29-02-2020",4.57,2693658,57.17,85.2799,23.6102
Odisha," 29-02-2020",2.87,28561470,40.8,85.2799,23.6102
Puducherry," 29-02-2020",1.76,987922,41.56,85.2799,23.6102
Punjab," 29-02-2020",11.12,18458094,41.24,85.2799,23.6102
Rajasthan," 29-02-2020",15.55,40657830,41.74,85.2799,23.6102
Tamil Nadu," 29-02-2020",2.19,55141178,43.18,85.2799,23.6102
Telangana," 29-02-2020",8.02,33651940,56.98,85.2799,23.6102
Tripura," 29-02-2020",29.5,3169372,68.22,85.2799,23.6102
Uttar Pradesh," 29-02-2020",9.58,116121062,39.3,85.2799,23.6102
Uttarakhand," 29-02-2020",5.04,6041862,36.25,85.2799,23.6102
West Bengal," 29-02-2020",5.42,73928355,47.11,85.2799,23.6102
Andhra Pradesh," 29-02-2020",5.8,33091304,40.19,75.7139,15.3173
Assam," 29-02-2020",5.88,20176536,41.61,75.7139,15.3173
Bihar," 29-02-2020",11.67,52563311,37.5,75.7139,15.3173
Chandigarh," 29-02-2020",16.67,316887,39.25,75.7139,15.3173
Chhattisgarh," 29-02-2020",8.69,18390228,45.92,75.7139,15.3173
Delhi," 29-02-2020",14.5,11712614,41.31,75.7139,15.3173
Goa," 29-02-2020",2.37,956136,38.07,75.7139,15.3173
Gujarat," 29-02-2020",6.35,49515590,49.97,75.7139,15.3173
Haryana," 29-02-2020",25.42,14645884,43.97,75.7139,15.3173
Himachal Pradesh," 29-02-2020",19.86,4360536,45.52,75.7139,15.3173
Jammu & Kashmir," 29-02-2020",20.62,6447026,39.55,75.7139,15.3173
Jharkhand," 29-02-2020",13.53,20850850,44.62,75.7139,15.3173
Karnataka," 29-02-2020",3.53,43355437,40.44,75.7139,15.3173
Kerala," 29-02-2020",7.53,19656046,37.68,75.7139,15.3173
Madhya Pradesh," 29-02-2020",4.65,45422958,38.75,75.7139,15.3173
Maharashtra," 29-02-2020",4.76,84832634,43.59,75.7139,15.3173
Meghalaya," 29-02-2020",4.57,2693658,57.17,75.7139,15.3173
Odisha," 29-02-2020",2.87,28561470,40.8,75.7139,15.3173
Puducherry," 29-02-2020",1.76,987922,41.56,75.7139,15.3173
Punjab," 29-02-2020",11.12,18458094,41.24,75.7139,15.3173
Rajasthan," 29-02-2020",15.55,40657830,41.74,75.7139,15.3173
Tamil Nadu," 29-02-2020",2.19,55141178,43.18,75.7139,15.3173
Telangana," 29-02-2020",8.02,33651940,56.98,75.7139,15.3173
Tripura," 29-02-2020",29.5,3169372,68.22,75.7139,15.3173
Uttar Pradesh," 29-02-2020",9.58,116121062,39.3,75.7139,15.3173
Uttarakhand," 29-02-2020",5.04,6041862,36.25,75.7139,15.3173
West Bengal," 29-02-2020",5.42,73928355,47.11,75.7139,15.3173
Andhra Pradesh," 29-02-2020",5.8,33091304,40.19,76.2711,10.8505
Assam," 29-02-2020",5.88,20176536,41.61,76.2711,10.8505
Bihar," 29-02-2020",11.67,52563311,37.5,76.2711,10.8505
Chandigarh," 29-02-2020",16.67,316887,39.25,76.2711,10.8505
Chhattisgarh," 29-02-2020",8.69,18390228,45.92,76.2711,10.8505
Delhi," 29-02-2020",14.5,11712614,41.31,76.2711,10.8505
Goa," 29-02-2020",2.37,956136,38.07,76.2711,10.8505
Gujarat," 29-02-2020",6.35,49515590,49.97,76.2711,10.8505
Haryana," 29-02-2020",25.42,14645884,43.97,76.2711,10.8505
Himachal Pradesh," 29-02-2020",19.86,4360536,45.52,76.2711,10.8505
Jammu & Kashmir," 29-02-2020",20.62,6447026,39.55,76.2711,10.8505
Jharkhand," 29-02-2020",13.53,20850850,44.62,76.2711,10.8505
Karnataka," 29-02-2020",3.53,43355437,40.44,76.2711,10.8505
Kerala," 29-02-2020",7.53,19656046,37.68,76.2711,10.8505
Madhya Pradesh," 29-02-2020",4.65,45422958,38.75,76.2711,10.8505
Maharashtra," 29-02-2020",4.76,84832634,43.59,76.2711,10.8505
Meghalaya," 29-02-2020",4.57,2693658,57.17,76.2711,10.8505
Odisha," 29-02-2020",2.87,28561470,40.8,76.2711,10.8505
Puducherry," 29-02-2020",1.76,987922,41.56,76.2711,10.8505
Punjab," 29-02-2020",11.12,18458094,41.24,76.2711,10.8505
